Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LATGEOPOINT,LONGEOPOINT,Latitude,Longitude,Altitude
SBRB,AC0001,Plácido de Castro,RIO BRANCO,Acre,Rio Branco,Acre,-9.8683333,-67.898056,"09°52'06.0""S","067°53'53.0""W","193,0"
SNGA,ES0007,Guarapari,GUARAPARI,Espírito Santo,Guarapari,Espírito Santo,-20.646389,-40.491667,"20°38'47.0""S","040°29'30.0""W","9,0"
SBIZ,MA0002,Prefeito Renato Moreira,IMPERATRIZ,Maranhão,Imperatriz,Maranhão,-5.5305556,-47.458333,"05°31'50.0""S","047°27'30.0""W","131,0"
SBPC,MG0018,Embaixador Walther Moreira Salles,POÇOS DE CALDAS,Minas Gerais,Poços de Caldas,Minas Gerais,-21.837778,-46.566111,"21°50'16.0""S","046°33'58.0""W","1261,0"
SSCD,MS0007,Chapadão do Sul,CHAPADÃO DO SUL,Mato Grosso do Sul,Chapadão do Sul,Mato Grosso do Sul,-18.839167,-52.488056,"18°50'21.0""S","052°29'17.0""W","817,0"
SBBE,PA0001,Aeroporto Internacional de Bélem,BELÉM,Pará,Belém,Pará,-1.3847222,-48.478889,"01°23'05.0""S","048°28'44.0""W","17,0"
SBKG,PB0003,Presidente João Suassuna,CAMPINA GRANDE,Paraíba,Campina Grande,Paraíba,-7.2691667,-35.895,"07°16'09.0""S","035°53'42.0""W","502,0"
SBCA,PR0005,Coronel Adalberto Mendes da Silva,CASCAVEL,Paraná,Cascavel,Paraná,-25.002222,-53.501944,"25°00'08.0""S","053°30'07.0""W","759,0"
SSNG,RS0046,Montenegro,MONTENEGRO,Rio Grande do Sul,Montenegro,Rio Grande do Sul,-29.719722,-51.488889,"29°43'11.0""S","051°29'20.0""W","24,0"
SIMK,SP0011,Tenente Lund Pressoto,FRANCA,São Paulo,Franca,São Paulo,-20.590278,-47.3825,"20°35'25.0""S","047°22'57.0""W","1003,0"
SBML,SP0014,Frank Miloye Milenkovich,MARÍLIA,São Paulo,Marília,São Paulo,-22.195556,-49.926944,"22°11'44.0""S","049°55'37.0""W","650,0"
SNWC,CE0011,Camocim,CAMOCIM,Ceará,Camocim,Ceará,-2.8958333,-40.858889,"02°53'45.0""S","040°51'32.0""W","14,0"
SBJP,PB0001,Presidente Castro Pinto,BAYEUX,Paraíba,João Pessoa,Paraíba,-7.1483333,-34.950278,"07°08'54.0""S","034°57'01.0""W","66,0"
SBMO,AL0001,Zumbi dos Palmares,MACEIÓ,Alagoas,Maceió,Alagoas,-9.5108333,-35.791667,"09°30'39.0""S","035°47'30.0""W","118,0"
SJAU,TO0007,Araguacema,ARAGUACEMA,Tocantins,Araguacema,Tocantins,-8.8377778,-49.557778,"08°50'16.0""S","049°33'28.0""W","207,0"
SSKM,PR0017,Campo Mourão,CAMPO MOURÃO,Paraná,Campo Mourão,Paraná,-24.0025,-52.356944,"24°00'09.0""S","052°21'25.0""W","574,0"
SWNS,GO0004,Anápolis,ANÁPOLIS,Goiás,Anápolis,Goiás,-16.3625,-48.928056,"16°21'45.0""S","048°55'41.0""W","1112,0"
SNGX,MG0023,Guaxupé,GUAXUPÉ,Minas Gerais,Guaxupé,Minas Gerais,-21.326667,-46.730278,"21°19'36.0""S","046°43'49.0""W","849,0"
SBGL,RJ0001,RIo de Janeiro/Galeão - Antônio Carlos Jobim,RIO DE JANEIRO,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,-22.81,-43.250556,"22°48'36.0""S","043°15'02.0""W","9,0"
SBCF,MG0001,Tancredo Neves,CONFINS,Minas Gerais,Belo Horizonte,Minas Gerais,-19.624444,-43.971944,"19°37'28.0""S","043°58'19.0""W","829,0"
SBAE,SP0010,Bauru/Arealva,AREALVA,São Paulo,Bauru,São Paulo,-22.157778,-49.068333,"22°09'28.0""S","049°04'06.0""W","598,0"
SBMG,PR0004,Silvio Name Júnior,MARINGÁ,Paraná,Maringá,Paraná,-23.479444,-52.012222,"23°28'46.0""S","052°00'44.0""W","549,0"
SNQG,PI0003,Cangapara,FLORIANO,Piauí,Floriano,Piauí,-6.8461111,-43.078056,"06°50'46.0""S","043°04'41.0""W","210,0"
SSKG,MS0003,Estância Santa Maria,CAMPO GRANDE,Mato Grosso do Sul,Campo Grande,Mato Grosso do Sul,-20.505556,-54.524722,"20°30'20.0""S","054°31'29.0""W","618,0"
SNIC,BA0019,Irecê,IRECÊ,Bahia,Irecê,Bahia,-11.34,-41.846944,"11°20'24.0""S","041°50'49.0""W","784,0"
SBPP,MS0005,Aeroporto Internacional de Ponta Porã,PONTA PORÃ,Mato Grosso do Sul,Ponta Porã,Mato Grosso do Sul,-22.549722,-55.703056,"22°32'59.0""S","055°42'11.0""W","657,0"
SNTS,PB0005,Patos,PATOS,Paraíba,Patos,Paraíba,-7.0377778,-37.2575,"07°02'16.0""S","037°15'27.0""W","265,0"
SNKK,RN0005,Caicó,CAICÓ,Rio Grande do Norte,Caicó,Rio Grande do Norte,-6.4391667,-37.078056,"06°26'21.0""S","037°04'41.0""W","182,0"
